các | loài
bệnh nhân | nào
nhân nào | ông
nào ông | nói
ông nói | với
nói với | các
với các | phóng
các phóng | viên
phóng viên | và
viên và | cho
và cho | biết
cho biết | điều
biết điều | này
điều này | có
này có | được
có được | nhờ
được nhờ | hệ
nhờ hệ | thống
hệ thống | giám
thống giám | sát
giám sát | y
sát y | tế
y tế | đã
tế đã | tiến
đã tiến | bộ
tiến bộ | của
bộ của | trung
của trung | quốc
trung quốc | không
quốc không | đảm
không đảm | bảo
đảm bảo | sẽ
bảo sẽ | có
sẽ có | một
có một | quyết
một quyết | định
quyết định | đúng
định đúng | đắn
đúng đắn | bàn
đắn bàn | thắng
bàn thắng | rooney
thắng rooney | 33
rooney 33 | 61
33 61 | saha
61 saha | 55
saha 55 | ronaldo
55 ronaldo | 59
ronaldo 59 | dưới
59 dưới | sự
dưới sự | hỗ
sự hỗ | trợ
hỗ trợ | sắp
trợ sắp | xếp
sắp xếp | của
xếp của | cia
của cia | trương
cia trương | hiến
trương hiến | nghĩa
hiến nghĩa | đào
nghĩa đào | tẩu
đào tẩu | sang
tẩu sang | mỹ
sang mỹ | và
mỹ và | ra
và ra | làm
ra làm | nhân
làm nhân | chứng
nhân chứng | trong
chứng trong | cuộc
trong cuộc | điều
cuộc điều | trần
điều trần | bí
trần bí | mật
bí mật | của
mật của | quốc
của quốc | hội
quốc hội | mỹ
hội mỹ | về
mỹ về | vấn
về vấn | đề
vấn đề | đài
đề đài | loan
đài loan | sản
loan sản | xuất
sản xuất | vũ
xuất vũ | khí
vũ khí | hạt
khí hạt | nhân
hạt nhân | dũng
nhân dũng | không
dũng không | nản
không nản | chí
nản chí | mà
chí mà | tiếp
mà tiếp | tục
tiếp tục | kèm
tục kèm | thằng
kèm thằng | đức
thằng đức | học
đức học | kết
học kết | quả
kết quả | sau
quả sau | một
sau một | năm
một năm | luyện
năm luyện | thi
luyện thi | 1988
thi 1988 | đức
1988 đức | mới
đức mới | đỗ
mới đỗ | miles
đỗ miles | o
miles o | brien
o brien | của
brien của | cnn
của cnn | đưa
cnn đưa | tin
đưa tin | john
tin john | edwards
john edwards | tham
edwards tham | gia
tham gia | tranh
gia tranh | luận
tranh luận | bắt
luận bắt | đầu
bắt đầu | đặc
đầu đặc | biệt
đặc biệt | từ
biệt từ | trước
từ trước | tới
trước tới | nay
tới nay | ubnd
nay ubnd | cấp
ubnd cấp | phường
cấp phường | xã
phường xã | chỉ
xã chỉ | chứng
chỉ chứng | sao
chứng sao | y
sao y | giấy
y giấy | tờ
giấy tờ | cho
tờ cho | người
cho người | dân
người dân | của
dân của | phường
của phường | xã
phường xã | mình
xã mình | nhưng
mình nhưng | theo
nhưng theo | hướng
theo hướng | tới
hướng tới | đây
tới đây | mà
đây mà | sở
mà sở | tư
sở tư | pháp
tư pháp | đề
pháp đề | nghị
đề nghị | thì
nghị thì | người
thì người | dân
người dân | có
dân có | thể
có thể | tới
thể tới | bất
tới bất | kỳ
bất kỳ | ubnd
kỳ ubnd | phường
ubnd phường | xã
phường xã | nào
xã nào | của
nào của | tp
của tp | để
tp để | chứng
để chứng | thực
chứng thực | bản
thực bản | sao
bản sao | ngược
sao ngược | lại
ngược lại | với
lại với | những
với những | gì
những gì | người
gì người | ta
người ta | thường
ta thường | nghĩ
thường nghĩ | bệnh
nghĩ bệnh | tiểu
bệnh tiểu | đường
tiểu đường | không
đường không | ảnh
không ảnh | hưởng
ảnh hưởng | đến
hưởng đến | nhu
đến nhu | cầu
nhu cầu | tình
cầu tình | dục
tình dục | tôi
dục tôi | lướt
tôi lướt | nhanh
lướt nhanh | trên
nhanh trên | kệ
trên kệ | hàng
kệ hàng | bao
hàng bao | bì
bao bì | tiếp
bì tiếp | thị
tiếp thị | thật
thị thật | bắt
thật bắt | mắt
bắt mắt | toàn
mắt toàn | những
toàn những | hình
những hình | ảnh
hình ảnh | mát
ảnh mát | mẻ
mát mẻ | mở
mẻ mở | thêm
mở thêm | 10
thêm 10 | tuyến
10 tuyến | xe
tuyến xe | buýt
xe buýt | điểm
buýt điểm | nlđ
điểm nlđ | từ
nlđ từ | ngày
từ ngày | 1
ngày 1 | 3
1 3 | sở
3 sở | gtcc
sở gtcc | sẽ
gtcc sẽ | mở
sẽ mở | thêm
mở thêm | 10
thêm 10 | tuyến
10 tuyến | xe
tuyến xe | buýt
xe buýt | điểm
buýt điểm | có
điểm có | trợ
có trợ | giá
trợ giá | trưởng
giá trưởng | đoàn
trưởng đoàn | bóng
đoàn bóng | đá
bóng đá | philippines
đá philippines | luzmindo
philippines luzmindo | fajardo
luzmindo fajardo | philippines
fajardo philippines | cảm
philippines cảm | thấy
cảm thấy | thoải
thấy thoải | mái
thoải mái | khi
mái khi | được
khi được | xếp
được xếp | vào
xếp vào | bảng
vào bảng | b
tôi | nghĩ
tôi nghĩ | bảng
nghĩ bảng | a
bảng a | khó
a khó | khăn
khó khăn | hơn
khăn hơn | nhiều
trưởng | đoàn
trưởng đoàn | bóng
đoàn bóng | đá
bóng đá | campuchia
đá campuchia | may
campuchia may | tola
may tola | tôi
tola tôi | thực
tôi thực | sự
thực sự | rất
sự rất | hài
rất hài | lòng
hài lòng | về
lòng về | kết
về kết | quả
kết quả | bốc
quả bốc | thăm
bốc thăm | còn
thăm còn | trò
còn trò | chơi
trò chơi | leo
chơi leo | trèo
leo trèo | đi
trèo đi | trên
đi trên | dây
trên dây | sẽ
dây sẽ | giúp
sẽ giúp | trẻ
giúp trẻ | phát
trẻ phát | triển
phát triển | khả
triển khả | năng
khả năng | thăng
năng thăng | bằng
thăng bằng | sự
bằng sự | dẻo
sự dẻo | dai
dẻo dai | và
dai và | lòng
và lòng | cam
lòng cam | đảm
cam đảm | dona
đảm dona | miguelina
dona miguelina | mẹ
miguelina mẹ | của
mẹ của | ronaldinho
của ronaldinho | kể
ronaldinho kể | rằng
kể rằng | khi
rằng khi | còn
khi còn | nhỏ
còn nhỏ | cậu
nhỏ cậu | con
cậu con | trai
con trai | yêu
trai yêu | quý
yêu quý | của
quý của | bà
của bà | đã
bà đã | vui
đã vui | sướng
vui sướng | không
sướng không | thể
không thể | tả
thể tả | khi
tả khi | được
khi được | bà
được bà | mua
bà mua | tặng
mua tặng | cho
tặng cho | quả
cho quả | bóng
quả bóng | đúng
bóng đúng | 7
đúng 7 | ngày
7 ngày | thôi
ngày thôi | những
thôi những | ngày
những ngày | còn
ngày còn | lại
còn lại | phải
lại phải | làm
phải làm | kinh
làm kinh | tế
kinh tế | phụ
tế phụ | còn
phụ còn | câu
còn câu | chú
câu chú | là
chú là | những
là những | câu
những câu | rắc
câu rắc | rối
rắc rối | rất
rối rất | khó
rất khó | hiểu
khó hiểu | mà
hiểu mà | khi
mà khi | đã
khi đã | thành
đã thành | tâm
thành tâm | thuộc
tâm thuộc | làu
thuộc làu | làu
làu làu | sẽ
làu sẽ | có
sẽ có | khả
có khả | năng
khả năng | ngậm
năng ngậm | nước
ngậm nước | hay
nước hay | trầu
hay trầu | phun
trầu phun | vào
phun vào | vết
vào vết | thương
vết thương | bệnh
thương bệnh | nhân
bệnh nhân | thì
nhân thì | bệnh
thì bệnh | gì
bệnh gì | cũng
gì cũng | khỏi
cũng khỏi | bà
khỏi bà | đen
bà đen | kim
đen kim | hồng
kim hồng | một
hồng một | diễn
một diễn | viên
diễn viên | vốn
viên vốn | xuất
vốn xuất | thân
xuất thân | từ
thân từ | dân
từ dân | cải
dân cải | lương
cải lương | có
lương có | vóc
có vóc | dáng
vóc dáng | và
dáng và | gương
và gương | mặt
gương mặt | khá
mặt khá | xinh
khá xinh | đẹp
xinh đẹp | nhưng
đẹp nhưng | sau
nhưng sau | cả
sau cả | giờ
cả giờ | được
giờ được | võ
được võ | sư
võ sư | tận
sư tận | tình
tận tình | nắm
tình nắm | tay
nắm tay | nắm
tay nắm | chân
nắm chân | vẫn
chân vẫn | không
vẫn không | thể
không thể | ra
thể ra | bộ
ra bộ | được
bộ được | kem
được kem | chứa
kem chứa | nhiều
chứa nhiều | chất
nhiều chất | dầu
chất dầu | giúp
dầu giúp | giữ
giúp giữ | ẩm
giữ ẩm | môi
ẩm môi | chợt
môi chợt | vẳng
chợt vẳng | bên
vẳng bên | tai
bên tai | một
tai một | giọng
một giọng | nữ
giọng nữ | nhỏ
nữ nhỏ | nhẹ
nhỏ nhẹ | đọc
nhẹ đọc | chậm
đọc chậm | rãi
chậm rãi | có
rãi có | tiết
có tiết | điệu
tiết điệu | nghe
điệu nghe | như
nghe như | từ
như từ | thuở
từ thuở | xa
thuở xa | xưa
xa xưa | nào
xưa nào | vọng
nào vọng | đến
vọng đến | váy
đến váy | đình
váy đình | bảng
đình bảng | buông
bảng buông | chùng
buông chùng | cửa
chùng cửa | võng
cửa võng | mười
võng mười | năm
mười năm | sau
năm sau | tình
sau tình | hình
tình hình | đã
hình đã | khác
đã khác | đã
khác đã | tối
đã tối | đục
tối đục | hơn
đục hơn | rất
hơn rất | nhiều
rất nhiều | mà
nhiều mà | không
mà không | ai
không ai | buồn
ai buồn | quan
buồn quan | tâm
quan tâm | lý
tâm lý | giải
lý giải | có
giải có | quan
có quan | tâm
quan tâm | cũng
tâm cũng | chưa
cũng chưa | chắc
chưa chắc | lý
chắc lý | giải
lý giải | nổi
giải nổi | lập
nổi lập | luận
lập luận | này
luận này | sẽ
này sẽ | kết
sẽ kết | thúc
kết thúc | cuộc
thúc cuộc | khẩu
cuộc khẩu | chiến
khẩu chiến | ngay
chiến ngay | lập
ngay lập | tức
lập tức | và
tức và | cô
và cô | gái
cô gái | sẽ
gái sẽ | không
sẽ không | thể
không thể | nào
thể nào | chiến
nào chiến | thắng
chiến thắng | dù
thắng dù | cho
dù cho | có
cho có | cố
có cố | gắng
cố gắng | bao
gắng bao | nhiêu
bao nhiêu | đi
nhiêu đi | nữa
đi nữa | chiều
nữa chiều | 10
chiều 10 | 10
10 10 | có
10 có | mặt
có mặt | tại
mặt tại | hiện
tại hiện | trường
hiện trường | một
trường một | chuyên
một chuyên | viên
chuyên viên | về
viên về | cầu
về cầu | ở
cầu ở | khu
ở khu | quản
khu quản | lý
quản lý | giao
lý giao | thông
giao thông | đô
thông đô | thị
đô thị | số
thị số | 1
số 1 | tp
1 tp | hcm
tp hcm | cho
hcm cho | biết
cho biết | sau
biết sau | đó
sau đó | cánh
đó cánh | trái
cánh trái | của
trái của | blackburn
của blackburn | tiếp
blackburn tiếp | tục
tiếp tục | phải
tục phải | hoạt
phải hoạt | động
hoạt động | rất
động rất | vất
rất vất | vả
vất vả | mà
vả mà | thiếu
mà thiếu | chút
thiếu chút | nữa
chút nữa | lưới
nữa lưới | của
lưới của | thủ
của thủ | môn
thủ môn | friedel
môn friedel | vẫn
friedel vẫn | rung
vẫn rung | lên
rung lên | ở
lên ở | phút
ở phút | 27
phút 27 | tôi
27 tôi | lén
tôi lén | lút
lén lút | vợ
lút vợ | qua
vợ qua | lại
qua lại | với
lại với | b
được | gần
được gần | 1
gần 1 | năm
1 năm | theo
năm theo | bộ
theo bộ | luật
bộ luật | mới
luật mới | những
mới những | trường
những trường | hợp
trường hợp | chuyển
hợp chuyển | khoản
chuyển khoản | từ
khoản từ | 600
từ 600 | 000
600 000 | ruble
000 ruble | 21
ruble 21 | 413
21 413 | usd
413 usd | trở
usd trở | lên
trở lên | phải
lên phải | thông
phải thông | qua
thông qua | kiểm
qua kiểm | soát
kiểm soát | theo
soát theo | tôi
theo tôi | việc
tôi việc | cải
việc cải | tạo
cải tạo | lại
tạo lại | những
lại những | công
những công | trình
công trình | xây
trình xây | dựng
xây dựng | trước
dựng trước | đây
trước đây | để
đây để | có
để có | thể
có thể | chịu
thể chịu | đựng
chịu đựng | được
đựng được | khả
được khả | năng
khả năng | động
năng động | đất
động đất | cấp
đất cấp | vii
cấp vii | cần
vii cần | rất
cần rất | nhiều
rất nhiều | thời
nhiều thời | gian
thời gian | chuyên
gian chuyên | môn
chuyên môn | và
môn và | kỹ
và kỹ | thuật
kỹ thuật | cao
thuật cao | ví
cao ví | dụ
ví dụ | hệ
dụ hệ | thống
hệ thống | báo
thống báo | động
báo động | an
động an | ninh
an ninh | windows
ninh windows | security
windows security | center
security center | sẽ
center sẽ | phát
sẽ phát | ra
phát ra | cảnh
ra cảnh | báo
cảnh báo | cho
báo cho | người
cho người | sử
người sử | dụng
sử dụng | nếu
dụng nếu | hệ
nếu hệ | thống
hệ thống | của
thống của | họ
của họ | không
họ không | được
không được | bảo
được bảo | mật
bảo mật | thích
mật thích | hợp
thích hợp | nguồn
hợp nguồn | tin
nguồn tin | từ
tin từ | văn
từ văn | phòng
văn phòng | t
phòng t | ư
t ư | đảng
ư đảng | cho
đảng cho | biết
cho biết | tất
biết tất | cả
tất cả | ý
cả ý | kiến
ý kiến | đóng
kiến đóng | góp
đóng góp | cho
góp cho | dự
cho dự | thảo
dự thảo | báo
thảo báo | cáo
báo cáo | chính
cáo chính | trị
chính trị | đều
trị đều | đã
đều đã | tổng
đã tổng | hợp
tổng hợp | trình
hợp trình | bộ
trình bộ | chính
bộ chính | trị
chính trị | và
trị và | ban
và ban | chấp
ban chấp | hành
chấp hành | t
hành t | ư
t ư | đảng
ư đảng | tôi
đảng tôi | từng
tôi từng | có
từng có | mặt
có mặt | ở
mặt ở | đây
ở đây | từ
đây từ | khi
từ khi | còn
khi còn | là
còn là | một
là một | cậu
một cậu | bé
cậu bé | nhặt
bé nhặt | bóng
nhặt bóng | và
bóng và | bây
và bây | giờ
bây giờ | với
giờ với | tư
với tư | cách
tư cách | một
cách một | tay
một tay | vợt
tay vợt | từ
vợt từ | danh
từ danh | sách
danh sách | đoàn
sách đoàn | thể
đoàn thể | thao
thể thao | vn
thao vn | dự
vn dự | sea
dự sea | games
sea games | 2005
games 2005 | lãng
2005 lãng | phí
lãng phí | những
phí những | đợt
những đợt | sóng
đợt sóng | hung
sóng hung | dữ
hung dữ | đó
dữ đó | cũng
đó cũng | đã
cũng đã | cuốn
đã cuốn | đi
cuốn đi | một
đi một | phần
một phần | thế
phần thế | hệ
thế hệ | trẻ
hệ trẻ | của
trẻ của | châu
của châu | á
sức | mạnh
sức mạnh | và
mạnh và | quy
và quy | mô
quy mô | của
mô của | trận
của trận | động
trận động | đất
động đất | này
đất này | thật
này thật | khủng
thật khủng | khiếp
khủng khiếp | giám
khiếp giám | đốc
giám đốc | điều
đốc điều | hành
điều hành | unicef
hành unicef | carol
unicef carol | bellamy
carol bellamy | nhận
bellamy nhận | định
nhận định | người
định người | hâm
người hâm | mộ
hâm mộ | hãy
mộ hãy | yên
hãy yên | tâm
yên tâm | về
tâm về | việc
về việc | được
việc được | xem
được xem | trực
xem trực | tiếp
trực tiếp | world
tiếp world | cup
world cup | 2006
cup 2006 | qua
2006 qua | vtc
qua vtc | dưới
vtc dưới | chân
dưới chân | thác
chân thác | có
thác có | hồ
có hồ | nước
hồ nước | sâu
nước sâu | tự
sâu tự | nhiên
tự nhiên | rộng
nhiên rộng | hàng
rộng hàng | trăm
hàng trăm | mét
trăm mét | vuông
mét vuông | xanh
vuông xanh | biếc
xanh biếc | và
biếc và | mát
và mát | lạnh
mát lạnh | đang
lạnh đang | dùng
đang dùng | thuốc
dùng thuốc | lại
thuốc lại | vui
lại vui | chén
vui chén | với
chén với | bạn
với bạn | bè
bạn bè | thì
bè thì | khó
thì khó | lường
khó lường | hết
lường hết | những
hết những | đột
những đột | biến
đột biến | sau
biến sau | đó
sau đó | trong
đó trong | đó
trong đó | có
đó có | chi
có chi | tiết
chi tiết | một
tiết một | lần
một lần | đọc
lần đọc | hồ
đọc hồ | sơ
hồ sơ | tại
sơ tại | tòa
tại tòa | phúc
tòa phúc | thẩm
phúc thẩm | tand
thẩm tand | tối
tand tối | cao
tối cao | ông
cao ông | phấn
ông phấn | cạo
phấn cạo | sửa
cạo sửa | hồ
sửa hồ | sơ
hồ sơ | đơn
sơ đơn | giản
đơn giản | vì
giản vì | tôi
vì tôi | thích
tôi thích | hình
thích hình | dáng
hình dáng | mảnh
dáng mảnh | mai
mảnh mai | với
mai với | vẻ
với vẻ | phụ
vẻ phụ | nữ
phụ nữ | bởi
nữ bởi | vậy
bởi vậy | cuộc
vậy cuộc | sống
cuộc sống | vợ
sống vợ | chồng
vợ chồng | ly
chồng ly | thân
ly thân | là
thân là | địa
là địa | ngục
địa ngục | trần
ngục trần | gian
trần gian | với
gian với | cả
với cả | hai
cả hai | người
stefan | pet
stefan pet | 18
pet 18 | tuổi
18 tuổi | con
tuổi con | trai
con trai | của
trai của | cựu
của cựu | tuyển
cựu tuyển | thủ
tuyển thủ | pen
thủ pen | phet
pen phet | nổi
phet nổi | tiếng
nổi tiếng | một
tiếng một | thời
một thời | của
thời của | campuchia
của campuchia | và
campuchia và | hing
và hing | darith
hing darith | 24
darith 24 | tuổi
24 tuổi | đã
tuổi đã | đều
đã đều | đã
đều đã | có
đã có | tên
có tên | trong
tên trong | danh
trong danh | sách
danh sách | đăng
sách đăng | ký
đăng ký | sơ
ký sơ | bộ
sơ bộ | dự
bộ dự | tiger
dự tiger | cup
tiger cup | món
cup món | này
món này | là
này là | đặc
là đặc | sản
đặc sản | của
sản của | vũng
của vũng | tàu
vũng tàu | 13
tàu 13 | 000
13 000 | ngôi
000 ngôi | làng
ngôi làng | không
làng không | còn
không còn | ai
còn ai | ở
sau | này
sau này | khi
này khi | đã
khi đã | nhận
đã nhận | thức
nhận thức | được
thức được | nó
được nó | đã
nó đã | nhiều
đã nhiều | lần
nhiều lần | khuyên
lần khuyên | cô
khuyên cô | ly
cô ly | hôn
ly hôn | mơ
hôn mơ | ước
mơ ước | của
ước của | anh
của anh | là
anh là | được
là được | tham
được tham | gia
tham gia | vở
gia vở | rent
vở rent | trên
rent trên | sân
trên sân | khấu
sân khấu | broadway
khấu broadway | và
broadway và | phiên
và phiên | bản
phiên bản | nhạc
bản nhạc | kịch
nhạc kịch | chúa
kịch chúa | tể
chúa tể | của
tể của | chiếc
của chiếc | nhẫn
kết | quả
kết quả | này
quả này | giúp
này giúp | thái
giúp thái | lan
thái lan | vươn
lan vươn | lên
vươn lên | dẫn
lên dẫn | đầu
dẫn đầu | bảng
đầu bảng | b
trong | khi
trong khi | đó
khi đó | quân
đó quân | đội
quân đội | việt
đội việt | nam
việt nam | 2
nam 2 | sẽ
2 sẽ | gặp
sẽ gặp | khó
gặp khó | khăn
khó khăn | khi
khăn khi | phải
khi phải | tiếp
phải tiếp | đội
tiếp đội | đang
đội đang | khát
đang khát | điểm
khát điểm | myanmar
điểm myanmar | ở
myanmar ở | lượt
ở lượt | tới
lịch | thi
lịch thi | đấu
thi đấu | giải
đấu giải | quân
giải quân | đội
quân đội | hữu
đội hữu | nghị
hữu nghị | các
nghị các | nước
các nước | asean
nước asean | những
asean những | tưởng
những tưởng | với
tưởng với | hai
với hai | tấm
hai tấm | bằng
tấm bằng | đại
bằng đại | học
đại học | cùng
học cùng | vốn
cùng vốn | ngoại
vốn ngoại | ngữ
ngoại ngữ | vững
ngữ vững | vàng
vững vàng | chị
vàng chị | sẽ
chị sẽ | dễ
sẽ dễ | dàng
dễ dàng | tìm
dàng tìm | được
tìm được | một
được một | công
một công | việc
công việc | ổn
việc ổn | định
ổn định | nơi
định nơi | thành
nơi thành | thị
thành thị | nào
thị nào | ngờ
nào ngờ | những
ngờ những | bước
những bước | chân
bước chân | khập
chân khập | khiễng
khập khiễng | cùng
khiễng cùng | với
cùng với | cây
với cây | nạng
cây nạng | gỗ
nạng gỗ | lại
gỗ lại | trở
lại trở | thành
trở thành | một
thành một | rào
một rào | cản
rào cản | vô
cản vô | hình
vô hình | đối
hình đối | với
đối với | người
với người | phụ
người phụ | nữ
phụ nữ | tài
nữ tài | năng
tài năng | này
năng này | theo
này theo | đó
theo đó | trong
đó trong | suốt
trong suốt | ba
suốt ba | năm
ba năm | qua
năm qua | họ
qua họ | đã
họ đã | lấy
đã lấy | cắp
lấy cắp | của
cắp của | ngân
của ngân | hàng
ngân hàng | khoảng
hàng khoảng | 5
khoảng 5 | triệu
5 triệu | usd
triệu usd | bằng
usd bằng | những
bằng những | tấm
những tấm | sec
tấm sec | giả
sec giả | hay
giả hay | đã
hay đã | bị
đã bị | cạo
bị cạo | sửa
cạo sửa | và
sửa và | số
và số | tiền
số tiền | đó
tiền đó | được
đó được | hợp
được hợp | thức
hợp thức | hóa
thức hóa | bằng
hóa bằng | việc
bằng việc | kinh
việc kinh | doanh
kinh doanh | cà
doanh cà | phê
cà phê | của
phê của | một
của một | đôi
một đôi | vợ
đôi vợ | chồng
vợ chồng | tại
chồng tại | new
tại new | york
new york | đặc
york đặc | biệt
đặc biệt | tiền
biệt tiền | đạo
tiền đạo | real
đạo real | madrid
real madrid | ronaldo
madrid ronaldo | đã
ronaldo đã | kịp
đã kịp | bình
kịp bình | phục
bình phục | và
phục và | sẵn
và sẵn | sàng
sẵn sàng | xung
sàng xung | trận
xung trận | hai
trận hai | chúng
hai chúng | tôi
chúng tôi | đã
tôi đã | cùng
đã cùng | nhau
cùng nhau | đi
nhau đi | thụ
đi thụ | tinh
thụ tinh | nhân
tinh nhân | tạo
nhân tạo | tuy
tạo tuy | chưa
tuy chưa | có
chưa có | kết
có kết | quả
kết quả | nhưng
quả nhưng | mọi
nhưng mọi | việc
mọi việc | đã
việc đã | xác
đã xác | định
xác định | được
định được | phương
được phương | hướng
phương hướng | tôi
hướng tôi | sẽ
tôi sẽ | quan
sẽ quan | tâm
quan tâm | đến
tâm đến | chồng
đến chồng | nhiều
chồng nhiều | hơn
vì | vậy
vì vậy | lời
vậy lời | khuyên
lời khuyên | của
khuyên của | tôi
của tôi | dành
tôi dành | cho
dành cho | anh
cho anh | khoa
anh khoa | là
khoa là | hãy
là hãy | thông
hãy thông | cảm
thông cảm | nhiều
cảm nhiều | hơn
nhiều hơn | cho
hơn cho | vợ
cho vợ | cùng
vợ cùng | nhau
cùng nhau | trò
nhau trò | chuyện
trò chuyện | hãy
chuyện hãy | quên
hãy quên | bản
quên bản | thân
bản thân | mình
thân mình | đi
mình đi | để
đi để | chỉ
để chỉ | còn
chỉ còn | thấy
còn thấy | mình
thấy mình | sống
mình sống | là
sống là | vì
là vì | người
vì người | khác
người khác | thì
khác thì | tự
thì tự | nhiên
tự nhiên | mình
nhiên mình | cũng
mình cũng | sẽ
cũng sẽ | được
sẽ được | nhận
được nhận | lại
nhận lại | tất
lại tất | cả
tất cả | một
cả một | tương
một tương | lai
tương lai | sáng
lai sáng | đang
sáng đang | chờ
đang chờ | đợi
chờ đợi | patrick
đợi patrick | sau
patrick sau | đó
sau đó | đạo
đó đạo | diễn
đạo diễn | hồng
diễn hồng | sến
hồng sến | thuyết
sến thuyết | phục
thuyết phục | được
phục được | cha
được cha | của
cha của | ông
của ông | nghiệp
ông nghiệp | cụ
nghiệp cụ | nguyễn
cụ nguyễn | văn
nguyễn văn | lập
văn lập | đồng
lập đồng | ý
đồng ý | cho
ý cho | mượn
cho mượn | cháu
mượn cháu | khương
cháu khương | để
khương để | quay
để quay | phim
quay phim | giả
phim giả | thuyết
giả thuyết | ở
thuyết ở | đây
ở đây | là
đây là | những
là những | đối
những đối | thủ
đối thủ | thuận
thủ thuận | tay
thuận tay | phải
tay phải | không
phải không | quen
không quen | phải
quen phải | đối
phải đối | mặt
đối mặt | với
mặt với | người
với người | thuận
người thuận | tay
thuận tay | trái
tay trái | và
trái và | nó
và nó | khiến
nó khiến | họ
khiến họ | khó
họ khó | tiếp
khó tiếp | cận
tiếp cận | đối
cận đối | phương
đối phương | hơn
faurie | và
faurie và | raymond
và raymond | đã
raymond đã | phân
đã phân | tích
phân tích | 8
tích 8 | nền
8 nền | văn
nền văn | hóa
văn hóa | truyền
hóa truyền | thống
truyền thống | người
thống người | kreyol
người kreyol | ở
kreyol ở | dominica
ở dominica | người
dominica người | ntimu
người ntimu | ở
ntimu ở | cameroon
ở cameroon | người
cameroon người | nói
người nói | tiếng
nói tiếng | dioula
tiếng dioula | ở
dioula ở | burkina
ở burkina | faso
burkina faso | người
faso người | baka
người baka | ở
baka ở | gabon
ở gabon | inuit
gabon inuit | và
inuit và | eipo
và eipo | ở
eipo ở | irian
ở irian | jaya
irian jaya | new
jaya new | guinea
new guinea | thời
guinea thời | tiết
thời tiết | hanh
tiết hanh | khô
hanh khô | làm
khô làm | cho
làm cho | những
cho những | vùng
những vùng | da
vùng da | hở
da hở | như
hở như | mặt
như mặt | môi
mặt môi | mu
môi mu | bàn
mu bàn | tay
bàn tay | bàn
tay bàn | chân
bàn chân | cổ
chân cổ | chân
bị | nứt
bị nứt | nẻ
nứt nẻ | xù
nẻ xù | xì
xù xì | gây
xì gây | cảm
gây cảm | giác
cảm giác | đau
giác đau | rát
đau rát | chảy
rát chảy | máu
chảy máu | và
máu và | dễ
và dễ | bị
dễ bị | nhiễm
bị nhiễm | khuẩn
nhiễm khuẩn | cơ
khuẩn cơ | quan
cơ quan | quản
quan quản | lý
quản lý | nhà
lý nhà | nước
nhà nước | trong
nước trong | lĩnh
trong lĩnh | vực
lĩnh vực | này
vực này | nên
này nên | thành
nên thành | lập
thành lập | một
lập một | trung
một trung | tâm
trung tâm | chuyên
tâm chuyên | làm
chuyên làm | công
làm công | tác
công tác | chuyển
tác chuyển | giao
chuyển giao | công
giao công | nghệ
công nghệ | anh
nghệ anh | ta
anh ta | đã
ta đã | sụp
đã sụp | đổ
sụp đổ | vì
đổ vì | hai
vì hai | lý
hai lý | do
lý do | phẩm
do phẩm | chất
phẩm chất | của
chất của | anh
của anh | ta
anh ta | bị
ta bị | so
bị so | sánh
so sánh | và
sánh và | tổn
và tổn | thương
tổn thương | do
thương do | tình
do tình | cảm
tình cảm | quá
cảm quá | đề
quá đề | cao
đề cao | bản
cao bản | thân
bản thân | mình
thân mình | ngược
mình ngược | lại
ngược lại | hdl
lại hdl | lấy
hdl lấy | cholesterol
lấy cholesterol | ra
cholesterol ra | khỏi
ra khỏi | máu
khỏi máu | và
máu và | ngăn
và ngăn | chúng
ngăn chúng | thâm
chúng thâm | nhập
thâm nhập | thành
nhập thành | động
thành động | mạch
động mạch | được
mạch được | gọi
được gọi | là
gọi là | cholesterol
là cholesterol | tốt
khi | cholesterol
khi cholesterol | máu
cholesterol máu | cao
máu cao | lượng
cao lượng | cholesterol
lượng cholesterol | dư
cholesterol dư | thừa
dư thừa | sẽ
thừa sẽ | đóng
sẽ đóng | trên
đóng trên | thành
trên thành | các
thành các | động
các động | mạch
động mạch | mang
mạch mang | máu
mang máu | đến
máu đến | nuôi
đến nuôi | tim
nuôi tim | ngay
tim ngay | từ
ngay từ | bây
từ bây | giờ
bây giờ | vitanex
giờ vitanex | đã
vitanex đã | bắt
đã bắt | đầu
bắt đầu | tuyển
đầu tuyển | chọn
tuyển chọn | nhân
chọn nhân | viên
nhân viên | để
viên để | huấn
để huấn | luyện
huấn luyện | trở
luyện trở | thành
trở thành | người
thành người | quản
người quản | lý
quản lý | cho
lý cho | siêu
cho siêu | thị
siêu thị | mới
thị mới | này
mới này | tuy
này tuy | nhiên
tuy nhiên | hiện
nhiên hiện | nhiều
hiện nhiều | gia
nhiều gia | đình
gia đình | cho
đình cho | trẻ
cho trẻ | ăn
trẻ ăn | bột
ăn bột | từ
bột từ | khi
từ khi | 3
khi 3 | 4
3 4 | tháng
4 tháng | tuổi
tháng tuổi | chẳng
tuổi chẳng | những
chẳng những | không
những không | có
không có | biện
có biện | pháp
biện pháp | xử
pháp xử | lý
xử lý | vi
lý vi | phạm
vi phạm | hơn
phạm hơn | 10
hơn 10 | ngày
10 ngày | sau
ngày sau | ubnd
sau ubnd | tỉnh
ubnd tỉnh | quảng
tỉnh quảng | trị
quảng trị | lại
trị lại | quyết
lại quyết | định
quyết định | hợp
